temperature_C,soaking_day,amorphous_pct,wollastonite_pct,hydroxyapatite_pct,whitlockite_pct
700,3,47.80,4.75,37.96,9.49
700,5,49.30,4.60,36.87,9.23
700,7,40.10,5.45,43.56,10.89
700,14,39.60,5.49,43.92,10.98
700,21,44.60,5.04,40.29,10.07
800,3,45.70,13.58,9.04,31.68
800,5,40.60,14.85,9.90,34.65
800,7,41.80,14.55,9.70,33.95
800,14,39.10,15.23,10.15,35.53
800,21,41.00,14.75,9.83,34.42
900,3,42.50,8.63,20.13,28.50
900,5,43.70,8.45,19.71,28.15
900,7,36.70,9.50,22.16,31.65
900,14,38.70,9.20,21.40,30.65
900,21,42.70,8.60,20.06,28.65
1000,3,25.50,15.52,21.73,37.25
1000,5,32.90,13.96,19.57,33.55
1000,7,28.30,14.94,20.91,35.85
1000,14,30.70,14.44,20.21,34.65
1000,21,28.50,14.90,20.85,35.75
1100,3,29.60,19.71,11.26,39.42
1100,5,28.80,19.94,11.39,39.87
1100,7,28.60,19.99,11.42,39.98
1100,14,26.10,20.69,11.82,41.38
1100,21,23.80,21.34,12.19,42.67
